DoY-2007  np  V  Vx  Vy  Vz  B  Bx  By  Bz       
      238.08090     6.80400   393.29000  -392.92000    13.92900    -9.97500     5.69300    -4.71300    -1.47800    -2.81000
      238.08164     6.78100   388.53000  -388.32200    12.03100    -4.32700     5.78200    -3.63400    -2.91500    -3.37200
      238.08238     6.36900   392.22000  -391.95200     3.90300   -13.98800     5.18800    -3.32800    -2.35400    -3.15900
      238.08313     5.91850   380.51700  -380.15890    10.98924    -5.34639     5.69700     -.73600    -3.10700    -3.69400
      238.08387     5.47400   368.97000  -368.52300    17.98100     3.18000     5.87300     1.35800    -3.55400    -4.09400
      238.08461     6.28700   385.26000  -384.46300    19.56200   -15.22400     5.70500     1.25200    -3.11500    -4.43000
      238.08535     6.46800   364.74000  -364.15900    20.66400      .12900     6.00200     -.78500    -3.12000    -4.80700
      238.08609     6.40200   372.67000  -372.40000    11.03400    -8.79400     6.23300      .01900    -4.98000    -3.71500
      238.08683     4.98900   375.03000  -374.84300     9.29200    -7.39000     5.65200      .62700    -4.01600    -3.85600
      238.08757     6.20800   374.24000  -373.93900    13.58700    -6.64800     5.63000     1.24000    -3.71200    -4.02900
      238.08831     5.88800   371.73000  -371.33900    15.96300    -6.28600     5.68500     1.04400    -3.66500    -4.20500
      238.08905     5.88700   370.60000  -369.97800    21.31600     1.76600     5.73700     1.33300    -3.61500    -4.23200
      238.08979     5.63900   368.06000  -367.54600    18.04900    -7.42700     5.69600      .86600    -3.91400    -4.03000
      238.09053     5.43300   362.11000  -361.83600    13.81700    -1.98500     5.47900    -1.18500    -2.96900    -4.34200
      238.09127     5.84400   369.83000  -369.64700     9.77900    -6.00100     5.39700    -3.26300     -.72000    -4.11900
      238.09201     5.59400   377.22000  -376.39300    23.07600    -9.49500     5.37600    -3.36000    -1.33000    -3.95200
      238.09275     4.82600   376.07000  -375.61800    17.91500    -4.02500     5.06600    -1.00300    -3.61500    -3.32300
      238.09350     5.79200   379.97000  -379.34000    20.24500    -8.40200     4.91200    -2.03200    -2.52000    -3.52300
      238.09424     5.67600   383.13000  -382.21400    25.77400    -6.18300     4.99700     -.89700    -3.05800    -3.67000
      238.09498     5.82800   386.33000  -385.59600    20.33500   -12.31200     5.15700      .41200    -3.60800    -3.59400
      238.09572     5.54700   381.73000  -380.72000    24.00000   -13.92100     4.99400     -.68500    -3.36300    -3.59700
      238.09646     5.36000   376.67000  -376.03300    20.56500    -7.48400     4.99400    -1.75700    -2.97800    -3.54900
      238.09720     5.83400   377.40000  -376.67000    19.24100   -13.53600     5.13600     -.78100    -3.29600    -3.57800
      238.09794     6.01500   376.63000  -375.83500    24.22400    -3.08000     5.06600     -.10900    -3.54500    -3.14800
      238.09868     6.11800   382.68000  -382.08000    17.89400   -11.91200     4.90900    -1.66900    -2.46500    -3.69400
      238.09942     6.48900   385.00000  -384.23900    18.68500   -15.33200     4.79700     -.45000    -3.79100    -2.79800
      238.10016     6.30300   380.24000  -379.62300    20.78600    -6.10800     5.02900     -.68700    -3.30700    -3.62700
      238.10090     5.42200   378.08000  -377.36300    20.34300   -11.39600     4.99300    -1.74400    -2.11000    -4.09800
      238.10164     6.98100   393.74000  -392.58200    26.77800   -13.95200     4.92300     -.35400    -2.45100    -3.63500
      238.10238     6.49975   379.67500  -378.14060    30.31460      .77797     5.43000     4.55200    -2.86800      .18600
      238.10313     6.01200   365.42000  -363.50400    33.89900    15.70700     5.81800     4.98900    -2.93400     -.44100
      238.10387     5.80300   364.74000  -362.63400    33.99500    19.34000     5.65300     4.15400    -3.40600    -1.53900
      238.10461     5.56300   363.38000  -362.50700    24.24500     6.76300     5.62900     2.70400    -3.85500    -3.04900
      238.10535     5.51800   364.23000  -363.51200    21.25700     8.51300     5.61500     1.81600    -3.77000    -3.57500
      238.10609     5.62750   379.97000  -378.77500    23.69200    -8.33300     5.51800     -.19000    -3.02900    -4.42600
      238.10683     5.73700   395.71000  -394.03800    26.12700   -25.17900     5.55000    -3.61800     -.76500    -4.07600
      238.10757     5.16200   400.31000  -398.57400    32.76500   -17.66100     5.56700    -3.09500    -1.39900    -4.38600
      238.10831     4.96400   395.91000  -394.41900    22.04900   -26.28400     5.56500    -2.50600    -2.13500    -4.47200
      238.10905     5.31900   396.57000  -395.58000    21.80500   -17.65400     5.64300    -3.30500    -1.71300    -4.20400
      238.10979     5.15600   400.06000  -398.68100    26.98100   -19.30100     5.55200    -3.72600    -1.53500    -3.80300
      238.11053     4.85000   405.59000  -404.10300    17.98900   -29.62000     5.63300    -3.57800    -1.86700    -3.91500
      238.11127     3.98600   402.05000  -401.31100    14.98800   -19.13300     5.95800    -3.68200    -2.12800    -4.16700
      238.11201     3.89600   402.11000  -401.04600    14.62000   -25.38700     5.93300    -3.80600    -2.18300    -3.97900
      238.11275     3.77300   400.43000  -399.76600    14.61700   -17.93600     5.79800    -3.66700    -2.25800    -3.87600
      238.11350     4.26100   403.46000  -402.45900    12.86600   -25.37300     5.76900    -3.72200    -2.21500    -3.80700
      238.11424     4.50700   401.18000  -399.32400    13.48500   -36.11300     5.52100    -3.43400    -2.02400    -3.81500
      238.11498     4.86900   401.48000  -399.88000    20.85700   -29.03900     5.51100    -3.18700    -2.04900    -3.99100
      238.11572     4.41800   398.86000  -397.31300    20.78300   -28.34700     5.58800    -2.90800    -2.41900    -4.10100
      238.11646     4.46300   398.51000  -397.36200    21.61800   -21.08400     5.63600    -2.85600    -3.14600    -3.66100
      238.11720     4.31700   398.26000  -397.25600    22.25100   -17.38700     5.95600    -2.97500    -3.03000    -4.16500
      238.11794     4.22700   396.06000  -394.50400    26.69800   -22.66000     5.98800    -2.94100    -2.62000    -4.50700
      238.11868     4.10800   392.98000  -391.64400    30.73300   -10.27300     5.95300    -2.77300    -2.80000    -4.44800
      238.11942     4.02100   389.05000  -388.12900    20.34600   -17.34800     5.77900    -2.33900    -2.98700    -4.29300
      238.12016     3.67400   393.59000  -392.58000    23.03600   -16.22300     5.80300    -2.61700    -2.54300    -4.50600
      238.12090     3.88400   392.07000  -391.13600    18.93600   -19.28300     5.89900    -2.91700    -2.37700    -4.52600
      238.12164     4.17800   393.49000  -392.20100    23.25700   -21.71400     5.65200    -2.42800    -2.69100    -4.30200
      238.12238     4.50900   395.86000  -395.38000     9.04800   -17.29200     5.27700    -1.85500    -3.04800    -3.86400
      238.12312     4.81400   382.60000  -381.45100    29.30900    -4.74400     5.02000    -1.94600    -2.11500    -4.07900
      238.12387     5.10300   389.70000  -388.48100    30.39300    -5.29600     5.08000    -2.10000    -1.33500    -4.40200
      238.12461     5.63200   396.97000  -394.80200    38.64300   -14.84000     4.55000    -1.54000    -1.91900    -3.37700
      238.12535     5.49500   390.68000  -389.52100    26.05400   -15.10300     4.47200    -1.71500    -2.07200    -3.55000
      238.12609     4.92700   394.33000  -392.87100    33.84000      .49200     4.73400    -2.19600    -1.56300    -3.85900
      238.12683     5.41200   395.43000  -393.30200    40.21900    -7.92400     4.79900    -1.93800    -1.02200    -4.23300
